pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
353,com.apple.ColorSyncXPCAgent,root,"pctxsw(voluntary=140475495350337, involuntary=0)","pmem(rss=1511424, vms=34466439168, pfaults=1051, pageins=2)",0.0,0.017595291137695312,0,1681222254.025518,0.006990499,0.013746717,0.0,0.0
354,colorsyncd,root,"pctxsw(voluntary=140475495350514, involuntary=0)","pmem(rss=1982464, vms=34465906688, pfaults=1926, pageins=2)",0.0,0.02307891845703125,0,1681222254.068596,0.02712256,0.019037252,0.0,0.0
356,appleeventsd,_appleevents,"pctxsw(voluntary=140475495356271, involuntary=0)","pmem(rss=4390912, vms=34499178496, pfaults=5201, pageins=4)",0.0,0.051116943359375,0,1681222254.413203,0.192354064,0.141284544,0.0,0.0
367,sharedfilelistd,root,"pctxsw(voluntary=140475495350746, involuntary=0)","pmem(rss=7413760, vms=34507366400, pfaults=3126, pageins=48)",0.0,0.08630752563476562,0,1681222254.987771,0.039615144,0.056169148,0.0,0.0
368,BlueTool,root,"pctxsw(voluntary=140475495350409, involuntary=0)","pmem(rss=1957888, vms=34496618496, pfaults=1203, pageins=6)",0.0,0.022792816162109375,0,1681222255.029251,0.007274761,0.017776704,0.0,0.0
369,bootinstalld,root,"pctxsw(voluntary=140475495350325, involuntary=0)","pmem(rss=3551232, vms=34465939456, pfaults=2298, pageins=4)",0.0,0.04134178161621094,0,1681222255.058662,0.037154792,0.013260934,0.0,0.0
372,countryd,root,"pctxsw(voluntary=140475495350427, involuntary=0)","pmem(rss=3121152, vms=34497302528, pfaults=1890, pageins=5)",0.0,0.036334991455078125,0,1681222255.275655,0.014517518,0.02126695,0.0,0.0
375,com.apple.AccountPolicyHelper,root,"pctxsw(voluntary=140475495350361, involuntary=0)","pmem(rss=1753088, vms=34467012608, pfaults=1444, pageins=2)",0.0,0.02040863037109375,0,1681222255.556065,0.009967962,0.011610684,0.0,0.0
387,GSSCred,root,"pctxsw(voluntary=140475495350557, involuntary=0)","pmem(rss=2883584, vms=34467659776, pfaults=2299, pageins=9)",0.0,0.0335693359375,0,1681222255.893209,0.04451146,0.023459904,0.0,0.0
397,coreauthd,root,"pctxsw(voluntary=140475495350573, involuntary=0)","pmem(rss=4730880, vms=34497249280, pfaults=3202, pageins=48)",0.0,0.05507469177246094,0,1681222256.767608,0.023459744,0.044849568,0.0,0.0
398,distnoted,jachian,"pctxsw(voluntary=140475495371477, involuntary=0)","pmem(rss=3084288, vms=34438660096, pfaults=3141, pageins=4)",0.0,0.03590583801269531,0,1681222256.920503,1.401673216,0.68070528,0.0,0.0
